river_name,river_length_km,source_lat,source_lon,mouth_lat,mouth_lon,countries_passed,continent,main_country,length_category
Fen,691.4790719031837,4675005.961400491,12476197.156920275,4201592.535674218,12306913.259397535,China,Asia,China,Medium
Yi,301.4079030448902,4289697.930698683,13191740.145543715,4100724.1153431833,13269315.915690282,China,Asia,China,Short
Bogcang,270.5158598446171,3723431.1282888777,9546162.710114291,3725937.707243587,9730834.570451276,China,Asia,China,Short
Tura,1264.9820151558627,8014325.219497848,6611442.843334491,7769897.326438973,7453687.850043443,Russia,Europe,Russia,Medium
Herlen,1501.7512837866602,6189450.357646371,12148837.408262283,6202081.219636593,13030821.516396506,"China, Mongolia",Asia,Mongolia,Medium
Bol’shoy Yugan,954.6027886004632,8078555.919395436,8365268.375529689,8597514.475399405,8169578.712075617,Russia,Europe,Russia,Medium
Vasyugan,1179.8633936106492,7762761.078186475,8688758.032515572,8169782.646516596,8983939.490866134,Russia,Europe,Russia,Medium
Qarqan,399.72928553602,4344871.787435306,9716202.145196617,4521200.136516152,9537737.650996635,China,Asia,China,Short
Huan,326.165719934253,4457865.492501495,11936145.43195658,4174607.136738826,12016226.977750389,China,Asia,China,Short
Zi,274.22058750418773,3908707.775811724,10641980.254176613,3735991.6247531553,10791875.644684723,China,Asia,China,Short
Kaladan,490.6827076798872,2702059.789969539,10397892.702733122,2323856.561724731,10360865.926791528,"India, Myanmar",Asia,Myanmar,Short
Mytitha,243.67809201983835,2488351.1956532774,10423754.916463314,2640443.030765184,10498286.7942835,Myanmar,Asia,Myanmar,Short
Jiulong,210.8680290643528,2859257.6456719083,13001931.716905965,2791849.822803424,13112381.524177417,China,Asia,China,Short
Mei,234.68670243939755,3117376.0410487135,12924464.657199634,2966716.6287518246,12810166.500344116,China,Asia,China,Short
Tuo,799.5582452905805,3880954.285098953,11524964.498360934,3341539.7821143097,11738107.622993585,China,Asia,China,Medium
Baram,367.5088522150962,381306.04616752564,12853868.097315693,509317.53336442384,12690286.062382901,"Brunei, Malaysia",Asia,Malaysia,Short
Son,820.6934327467446,2580007.1418655487,9133470.70139948,2944380.071784607,9448535.29926771,India,Asia,India,Medium
Betwa,633.9697626467354,2644257.0835704575,8610138.642142821,2970487.8395406525,8928932.008110864,India,Asia,India,Medium
Ba,298.53361753684857,1619020.3686014884,12065499.984783642,1459738.9241466585,12170372.946471408,Vietnam,Asia,Vietnam,Short
Masi,498.4936117804607,-367396.17932272895,11418227.152623264,-261845.09244600823,11693558.084588232,Indonesia,Asia,Indonesia,Short
Pembuang,323.51974605852115,-100085.9168094309,12468598.297148349,-377986.2273890487,12531889.515448978,Indonesia,Asia,Indonesia,Short
Ramu,416.26441363730777,-711934.9471770044,16235425.92208586,-444088.4840859592,16102755.700831842,Papua New Guinea,Oceania,Papua New Guinea,Short
Parbati,416.0514112047025,2605101.274386157,8533269.489857743,2961684.8804635024,8521050.436376136,India,Asia,India,Short
Indravati,448.91417806258085,2197351.14213172,9235049.736748345,2107582.7191627547,8935318.746474247,India,Asia,India,Short
Ravi,810.0789937538765,3783498.927197655,8552168.799891343,3675271.4043000885,8260797.642470768,"India, Pakistan",Asia,Pakistan,Medium
Tumen,544.8164982869374,5126744.78129285,14270419.488704123,5176526.259139037,14549479.1887689,"China, North Korea, Russia",Asia,North Korea,Medium
Markha,2418.950795097997,9868274.021100441,12393832.691881673,9182113.039711636,13233756.730691765,Russia,Europe,Russia,Long
Selemdzha,873.2607681342473,6867470.32902247,14972389.978865124,6719884.465215521,14346734.217744041,Russia,Europe,Russia,Medium
Selennyakh,1565.2626256700544,10888253.134176455,15244541.130453428,10365455.990659356,16137874.608547434,Russia,Europe,Russia,Medium
Bytantay,1245.6522189172483,9903975.963543942,14271968.612477368,10637650.205464998,14968449.225406868,Russia,Europe,Russia,Medium
Uchur,1253.0382592153555,7484313.799168734,14930367.958195066,7802635.242950093,14614922.873786042,Russia,Europe,Russia,Medium
Chara,1384.179159642428,7646406.663830004,13066418.750049101,8438970.325810108,13457276.266844159,Russia,Europe,Russia,Medium
Ozhogina,1024.020090086647,9930575.72574602,16222587.219094954,9902089.497107197,16816102.73856269,Russia,Europe,Russia,Medium
Nemor,466.8642112579257,6030769.479709726,14220151.781142788,6129654.837426987,13864657.770553835,China,Asia,China,Short
Penzhina,1063.8841279992796,9362552.45836233,18260880.79575626,8930924.72040762,18439345.28995624,Russia,Europe,Russia,Medium
Quan,409.676232263799,3974976.568395109,12505059.778800758,3898180.8349675993,12863679.214546254,China,Asia,China,Short
Muling,604.4209720579449,5419791.866109024,14480420.881614188,5729394.186339582,14862282.609480392,China,Asia,China,Medium
Ivaí,578.1339706613385,-2649647.3526723697,-5979324.246541865,-2913257.8944848767,-5695557.384415223,Brazil,South America,Brazil,Medium
Jejuí Guazú,281.4743294933904,-2753905.439328112,-6365469.165753044,-2790527.051414266,-6124778.81556667,Paraguay,South America,Paraguay,Short
Tercero,186.28496301945637,-3761154.095183237,-7169926.42343881,-3822911.5010718666,-7007051.0063675,Argentina,South America,Argentina,Short
Pardo,435.77544079403145,-2482536.1892967676,-5146520.741566698,-2276986.5882596974,-5413817.97199883,Brazil,South America,Brazil,Short
Pibor,151.66038482872702,874934.2102549215,3673189.8872472877,740065.7309524098,3699008.616801392,"Ethiopia, South Sudan",Africa,South Sudan,Short
Gombe,104.79574622002308,-528892.2915931614,3494540.5852989247,-552806.7190914366,3446419.908932084,United Republic of Tanzania,Africa,United Republic of Tanzania,Short
Balak,866.9229168046977,2682212.383074019,10096916.977918414,2736945.473687717,10127453.740578407,"Bangladesh, India",Asia,India,Medium
Balak,57.81692113122854,2736945.473687717,10127453.740578407,2779141.2751437086,10148391.371366281,Bangladesh,Asia,Bangladesh,Short
Gandak,736.8710569034357,3380311.860939571,9346733.40751638,2935787.8975341283,9482496.44079488,"India, Nepal",Asia,Nepal,Medium
Ying,158.15243320928772,3898180.8349675993,12863679.214546254,3806016.1071034414,12971155.791277476,China,Asia,China,Short
Carcarañá,348.743296108315,-3822911.5010718666,-7007051.0063675,-3815141.907058289,-6764778.919275812,Argentina,South America,Argentina,Short
Gwayi,76.53438347640306,-2023252.9298220312,2995429.2121250196,-2078552.8668525917,3024677.75606831,Zimbabwe,Africa,Zimbabwe,Short
Javari,729.935351444092,-781547.5198654181,-8214606.5764179705,-468854.5393848453,-7788551.336838158,"Brazil, Peru",South America,Peru,Medium
Guárico,45.692304758274986,1098675.4129981543,-7469603.058492794,995016.2365075102,-7503194.584523186,Venezuela,South America,Venezuela,Short
Guárico,330.313211095426,1118214.3445689764,-7495794.121304676,1089966.1971937302,-7452383.324760707,Venezuela,South America,Venezuela,Short
Limay,88.27466210337988,-4732859.759644022,-7654389.0647920165,-4788817.096089291,-7715864.818740841,Argentina,South America,Argentina,Short
Limay,463.757373943197,-4732859.759644022,-7654389.0647920165,-4993466.110877202,-7922854.932456597,Argentina,South America,Argentina,Short
Di’er Songhua,50.62231569598052,5360620.185737135,14127003.240433589,5390186.210853919,14101820.466954824,China,Asia,China,Short
Di’er Songhua,691.9183914097979,5360620.185737135,14127003.240433589,5389998.901773524,14101918.306351023,China,Asia,China,Medium
Ogooué,6.315762220291659,-89718.39864927481,1116662.7709760054,-86824.17783848789,1111428.3632790337,Gabon,Africa,Gabon,Short
Ogooué,1006.2586569371148,-69399.82303322326,1143487.0721022163,-106117.5596474595,993939.5550028322,"Gabon, Republic of the Congo",Africa,Gabon,Medium
Chico,29.286914090128064,-5695487.470886899,-7655462.580389267,-5684897.390115614,-7630173.814231274,Argentina,South America,Argentina,Short
Chico,850.438923120995,-5695487.470886899,-7655462.580389267,-5684897.390115614,-7630173.814231274,Argentina,South America,Argentina,Medium
Pongola,26.703804971931977,-3155513.1994083636,3569626.886364268,-3148437.599625001,3550113.3623433774,South Africa,Africa,South Africa,Short
Pongola,190.08920991302787,-3145272.425163025,3382753.6396126696,-3148437.599625001,3550113.3623433774,South Africa,Africa,South Africa,Short
